212,No Assessment,Rideshare Drivers United - LA,es,90044,5/1/2025 14:37
213,Supporter,Rideshare Drivers United - LA,en,90044,3/31/2020 20:27
214,Supporter,Rideshare Drivers United - LA,en,90044,1/31/2022 5:48
215,Supporter,Rideshare Drivers United - LA,en,90044,4/3/2025 10:35
216,Activist,Rideshare Drivers United - LA,es,90045,4/29/2021 17:16
217,No Assessment,Rideshare Drivers United - LA,en,90045,5/22/2025 17:13
218,Supporter,Rideshare Drivers United - LA,en,90045,10/25/2019 7:39
219,Supporter,Rideshare Drivers United - LA,en,90045,3/30/2025 12:39
220,Core,Rideshare Drivers United - LA,en,90046,1/27/2024 23:30
221,No Assessment,Rideshare Drivers United - LA,en,90046,6/21/2019 5:03
222,No Assessment,Rideshare Drivers United - LA,en,90046,6/29/2024 11:13
223,Supporter,Rideshare Drivers United - LA,en,90046,11/14/2018 16:31
224,Supporter,Rideshare Drivers United - LA,en,90046,7/3/2019 17:04
225,Supporter,Rideshare Drivers United - LA,hy,90046,4/7/2025 20:48
226,No Assessment,Rideshare Drivers United - LA,en,90047,7/12/2018 13:29
227,No Assessment,Rideshare Drivers United - LA,en,90047,1/27/2022 14:36
228,Supporter,Rideshare Drivers United - LA,es,90047,6/12/2018 0:36
229,Activist,Rideshare Drivers United - LA,en,90048,6/20/2019 20:24
230,No Assessment,Rideshare Drivers United - LA,en,90048,10/20/2018 23:36
231,No Assessment,Rideshare Drivers United - LA,en,90048,4/2/2020 10:00
232,Activist,Rideshare Drivers United - LA,en,90057,1/9/2025 12:05
233,No Assessment,Rideshare Drivers United - LA,en,90057,12/13/2022 22:41
234,No Assessment,Rideshare Drivers United - LA,en,90057,12/26/2022 0:07
235,No Assessment,Rideshare Drivers United - LA,en,90057,5/20/2025 19:06
236,No Assessment,Rideshare Drivers United - LA,en,90058,9/26/2019 14:21
237,Activist,Rideshare Drivers United - LA,en,90059,11/29/2019 10:03
238,Activist,Rideshare Drivers United - LA,es,90059,3/17/2020 17:58
239,Disengaged,Rideshare Drivers United - LA,en,90059,4/22/2020 12:09
240,No Assessment,Rideshare Drivers United - LA,en,90059,11/25/2022 17:53
241,No Assessment,Rideshare Drivers United - LA,zh,90059,5/24/2024 18:47
242,Supporter,Rideshare Drivers United - LA,en,90059,2/14/2024 12:20
243,Supporter,Rideshare Drivers United - LA,en,90061,11/14/2018 21:54
244,Supporter,Rideshare Drivers United - LA,en,90061,3/30/2019 19:58
245,Activist,Rideshare Drivers United - LA,es,90062,9/26/2019 7:08
246,Activist,Rideshare Drivers United - LA,es,90062,11/6/2019 13:30
247,Activist,Rideshare Drivers United - LA,es,90062,4/11/2024 11:29
248,Activist,Rideshare Drivers United - LA,es,90062,5/23/2025 12:42
249,Core,Rideshare Drivers United - LA,en,90062,11/25/2018 12:11
250,No Assessment,Rideshare Drivers United - LA,es,90062,2/12/2018 9:41
251,No Assessment,Rideshare Drivers United - LA,en,90062,8/23/2019 15:11
252,No Assessment,Rideshare Drivers United - LA,en,90062,4/9/2020 11:39
